Campaign_Name,Channel,Region,Product,Impressions,Clicks,Spend,Revenue,Conversions,day,month,year
Summer Sale,Instagram,US,Service X,134476,7323,6609.74,39039.73,405,1,1,2024
Launch 2025,TV,US,Product B,174944,3999,4233.33,73631.56,305,2,1,2024
Summer Sale,YouTube,EMEA,Product B,165158,8721,27829.83,120909.04,736,3,1,2024
Retargeting Q3,Display,APAC,Product C,41860,1417,4686.69,1911.01,15,4,1,2024
Holiday Push,Google Ads,EMEA,Service X,84153,3292,7303.74,13274.2,110,5,1,2024
Brand Awareness,TV,EMEA,Product C,85427,1536,3929.43,38138.98,142,6,1,2024
Launch 2025,Instagram,LATAM,Service Y,101349,4128,4777.69,5660.28,90,7,1,2024
Launch 2025,Display,EMEA,Service Y,128424,6147,17863.09,120860.12,518,8,1,2024
Launch 2025,Email,US,Service Y,122112,4445,7046.9,21132.99,411,9,1,2024
Holiday Push,TV,MEA,Service X,145682,2548,3782.13,7566.8,144,10,1,2024
Retargeting Q3,YouTube,MEA,Product A,28839,1584,2908.93,1309.72,23,11,1,2024
Summer Sale,TV,US,Service Y,151485,5017,14653.38,49205.48,376,12,1,2024
Summer Sale,YouTube,EMEA,Product C,24144,296,453.94,1193.42,4,13,1,2024
Retargeting Q3,Instagram,LATAM,Service X,112182,2131,1931.3,32284.95,144,14,1,2024
Brand Awareness,Google Ads,US,Service Y,103958,2992,7624.19,35568.85,208,15,1,2024
Summer Sale,Instagram,LATAM,Service Y,108037,3937,10565.23,2474.76,118,16,1,2024
Brand Awareness,Facebook,EMEA,Product A,116182,4251,12625.82,16018.69,137,17,1,2024
Holiday Push,Google Ads,EMEA,Service Y,178066,5513,15426.26,12019.75,493,18,1,2024
Summer Sale,YouTube,LATAM,Product B,13801,446,1122.17,3452.5,39,19,1,2024
Brand Awareness,Facebook,MEA,Product C,146494,3056,9446.68,7410.18,46,20,1,2024
Holiday Push,TV,MEA,Product B,156381,6238,15704.76,25287.56,242,21,1,2024
Holiday Push,TV,LATAM,Service Y,113412,2838,1937.99,71906.37,270,22,1,2024
Launch 2025,Instagram,LATAM,Service X,134924,1665,2552.85,14319.73,113,23,1,2024
Holiday Push,Instagram,US,Service X,44116,1102,1158.9,5598.15,64,24,1,2024
Holiday Push,Instagram,US,Product C,20105,766,2606.97,2647.11,46,25,1,2024
Holiday Push,Google Ads,APAC,Service X,174530,2435,4503.19,17847.68,105,26,1,2024
Launch 2025,TV,MEA,Product B,181599,7309,4521.66,29436.26,120,27,1,2024
Holiday Push,Facebook,EMEA,Service X,130670,2671,8603.55,27177.32,99,28,1,2024
Brand Awareness,Display,APAC,Service X,68594,3071,8019.32,12181.77,140,29,1,2024
Retargeting Q3,YouTube,EMEA,Service X,127224,4666,7361.92,25519.83,156,30,1,2024
Holiday Push,TV,US,Product A,88947,4955,7988.03,41536.62,234,31,1,2024
Holiday Push,Instagram,US,Service X,73360,2763,6222.54,21146.69,206,1,2,2024
Brand Awareness,Display,LATAM,Service X,154366,7975,15933.29,116254.62,549,2,2,2024
Retargeting Q3,Facebook,MEA,Product A,125803,2316,6681.49,12857.89,58,3,2,2024
Summer Sale,YouTube,US,Product B,142348,1664,5058.71,32721.86,158,4,2,2024
Launch 2025,TV,MEA,Service X,22817,1034,545.36,7096.28,57,5,2,2024
Launch 2025,TV,APAC,Service Y,177827,6115,3178.8,8487.85,364,6,2,2024
Holiday Push,Google Ads,EMEA,Service Y,80153,870,2557.34,14989.34,61,7,2,2024
Retargeting Q3,Google Ads,APAC,Service X,44032,970,2288.56,3696.55,31,8,2,2024
Summer Sale,TV,EMEA,Product A,125323,4793,16635.06,30672.09,145,9,2,2024
Holiday Push,Google Ads,LATAM,Service X,111241,3221,6951.25,1087.01,48,10,2,2024
Launch 2025,Google Ads,US,Product B,174058,8566,18824.38,34885.88,747,11,2,2024
Brand Awareness,Email,MEA,Product A,186479,10140,19534.72,5836.9,143,12,2,2024
Retargeting Q3,Google Ads,APAC,Product B,52016,2935,4236.54,52176.74,283,13,2,2024
Brand Awareness,YouTube,US,Product A,152838,3366,10111.3,40925.11,151,14,2,2024
Summer Sale,Instagram,MEA,Service Y,136279,6442,9905.08,10285.04,121,15,2,2024
Retargeting Q3,YouTube,US,Product C,161135,4807,13558.94,5791.89,60,16,2,2024
Summer Sale,Display,MEA,Product C,149975,8557,15364.47,124837.77,609,17,2,2024
Holiday Push,TV,LATAM,Product C,69605,3177,2370.4,16445.22,75,18,2,2024
Brand Awareness,Google Ads,US,Product A,99555,1525,786.27,6884.28,57,19,2,2024
Summer Sale,Instagram,MEA,Product A,54123,1707,3705.82,4647.59,95,20,2,2024
Retargeting Q3,Display,EMEA,Service Y,161480,6443,9492.41,29192.85,287,21,2,2024
Brand Awareness,Instagram,LATAM,Product B,68633,2649,2672.18,6888.4,117,22,2,2024
Brand Awareness,Instagram,US,Service X,21585,396,525.84,3348.05,14,23,2,2024
Retargeting Q3,Instagram,MEA,Service X,160662,6560,12290.72,3174.76,145,24,2,2024
Launch 2025,Facebook,APAC,Product C,91387,2925,5241.16,49763.42,246,25,2,2024
Brand Awareness,Instagram,LATAM,Service Y,163128,9357,10316.6,103848.96,358,26,2,2024
Launch 2025,Facebook,MEA,Service Y,68550,1802,2416.3,17719.63,145,27,2,2024
Holiday Push,YouTube,APAC,Product A,52166,2299,4943.53,32835.93,220,28,2,2024
Holiday Push,TV,LATAM,Service X,112254,4899,4495.02,16516.66,182,29,2,2024
Retargeting Q3,Email,EMEA,Product C,24389,791,1814.4,8311.52,49,1,3,2024
Holiday Push,TV,APAC,Product B,188929,10348,21841.71,30525.07,697,2,3,2024
Brand Awareness,Display,LATAM,Product A,174607,7094,15533.45,96924.52,482,3,3,2024
Launch 2025,Facebook,LATAM,Product C,7765,115,134.09,1409.91,8,4,3,2024
Summer Sale,YouTube,EMEA,Product C,107533,3565,9050.35,15987.61,257,5,3,2024
Brand Awareness,Instagram,APAC,Service X,114045,6389,4840.08,121423.23,541,6,3,2024
Retargeting Q3,Instagram,EMEA,Product C,59229,2135,3298.36,8886.33,40,7,3,2024
Holiday Push,TV,US,Service Y,16713,844,713.4,14503.07,72,8,3,2024
Retargeting Q3,TV,US,Product B,50731,1907,2847.09,13742.52,92,9,3,2024
Retargeting Q3,Email,LATAM,Service X,172897,7411,12500.48,151006.0,565,10,3,2024
Summer Sale,Email,EMEA,Service Y,6166,278,310.62,5175.33,21,11,3,2024
Retargeting Q3,Email,APAC,Service Y,54010,1527,1666.3,6233.89,30,12,3,2024
Launch 2025,Facebook,APAC,Service Y,106879,4335,9801.5,45957.35,179,13,3,2024
Holiday Push,Instagram,US,Service Y,159709,2273,2049.89,4853.29,46,14,3,2024
Launch 2025,TV,US,Service Y,106833,3302,3016.71,10585.62,147,15,3,2024
Summer Sale,Display,APAC,Product A,48742,1680,1547.09,9361.94,64,16,3,2024
Retargeting Q3,YouTube,LATAM,Service X,132037,2221,6542.28,34565.85,214,17,3,2024
Holiday Push,Instagram,EMEA,Product C,191159,9939,19541.05,4954.89,173,18,3,2024
Retargeting Q3,Email,MEA,Product A,63941,2358,2368.91,27348.61,120,19,3,2024
Summer Sale,Display,LATAM,Service Y,155133,2437,6885.35,25035.14,204,20,3,2024
Brand Awareness,Display,EMEA,Service X,62289,3705,2990.86,72107.92,313,21,3,2024
Holiday Push,Facebook,MEA,Product C,73895,2026,5977.08,29830.82,100,22,3,2024
Holiday Push,Display,EMEA,Service Y,191319,7750,13829.88,121557.21,507,23,3,2024
Brand Awareness,Instagram,MEA,Product C,96964,3550,8131.53,26176.68,89,24,3,2024
Retargeting Q3,Google Ads,APAC,Product B,139850,8289,21036.64,44305.15,153,25,3,2024
Retargeting Q3,YouTube,US,Service Y,188874,10067,12574.0,187721.3,745,26,3,2024
Summer Sale,YouTube,MEA,Product C,170780,4002,6974.19,39877.99,202,27,3,2024
Summer Sale,Display,EMEA,Service X,187112,10631,17086.29,113315.61,1015,28,3,2024
Holiday Push,YouTube,US,Service X,171419,7406,11661.99,19678.11,116,29,3,2024
Retargeting Q3,Display,APAC,Product A,75395,1971,2662.39,6561.7,116,30,3,2024
